Time Bucket (America/Edmonton),Jasper Ave -Circuit_1 (kWatts),Jasper Ave -Circuit_2 (kWatts),Jasper Ave -Circuit_3 (kWatts),Jasper Ave -Circuit_4 (kWatts),Jasper Ave -Circuit_5 (kWatts),Jasper Ave -Circuit_10 (kWatts),Jasper Ave -Circuit_11 (kWatts)
01/25/2023 21:38:00,0.0073,0.0000,0.0118,0.1228,0.1336,0.0000,0.0000
01/25/2023 21:39:00,0.0075,0.0000,0.0118,0.1225,0.1321,0.0000,0.0000
01/25/2023 21:40:00,0.0074,0.0000,0.0117,0.1226,0.1185,0.0000,0.0000
01/25/2023 21:41:00,0.0074,0.0000,0.0116,0.1222,0.1188,0.0000,0.0000
01/25/2023 21:42:00,0.0070,0.3014,0.0118,0.1222,0.1194,0.0000,0.0000
01/25/2023 21:43:00,0.0062,0.9998,0.0114,0.1222,0.1270,0.0000,0.0000
01/25/2023 21:44:00,0.0064,0.9997,0.0113,0.1221,0.1196,0.0000,0.0000
01/25/2023 21:45:00,0.0064,1.0009,0.0112,0.1219,0.1164,0.0000,0.0000
01/25/2023 21:46:00,0.0062,1.0023,0.0113,0.1221,0.1285,0.0000,0.0000
01/25/2023 21:47:00,0.0063,1.0024,0.0113,0.1219,0.1255,0.0000,0.0000
01/25/2023 21:48:00,0.0062,1.0021,0.0113,0.1219,0.1288,0.0000,0.0000
01/25/2023 21:49:00,0.0068,0.5034,0.0116,0.1219,0.1282,0.0000,0.0000
01/25/2023 21:50:00,0.0074,0.0000,0.0116,0.1218,0.1281,0.0000,0.0000
01/25/2023 21:51:00,0.0074,0.0000,0.0115,0.1219,0.1297,0.0000,0.0000
01/25/2023 21:52:00,0.0073,0.0000,0.0118,0.1220,0.1270,0.0000,0.0000
01/25/2023 21:53:00,0.0073,0.0000,0.0117,0.1219,0.1194,0.0000,0.0000
01/25/2023 21:54:00,0.0073,0.0000,0.0116,0.1216,0.1243,0.0000,0.0000
01/25/2023 21:55:00,0.0073,0.0000,0.0116,0.1215,0.1579,0.0000,0.0000
01/25/2023 21:56:00,0.0070,0.0000,0.0116,0.0449,0.2357,0.0000,0.0000
01/25/2023 21:57:00,0.0069,0.0000,0.0116,0.0000,0.2194,0.0000,0.0000
01/25/2023 21:58:00,0.0059,0.6997,0.0113,0.0000,0.2175,0.0000,0.0000
01/25/2023 21:59:00,0.0069,0.0000,0.0115,0.0000,0.2173,0.0000,0.0000
01/25/2023 22:00:00,0.0068,0.0000,0.0117,0.0001,0.2171,0.0000,0.0000
01/25/2023 22:01:00,0.0069,0.0000,0.0115,0.0000,0.2154,0.0000,0.0000
01/25/2023 22:02:00,0.0068,0.0000,0.0119,0.0000,0.2151,0.0000,0.0000
01/25/2023 22:03:00,0.0069,0.0000,0.0117,0.0000,0.2123,0.0000,0.0000
